seas,yr,anom,mes1,mes2,mes3,disponibilidade_conservadora,data_indexada_antiga_por_centro
JJA,2024,0.06,2024-06-01,2024-07-01,2024-08-01,2024-08-01,2024-07-01
JAS,2024,-0.04,2024-07-01,2024-08-01,2024-09-01,2024-09-01,2024-08-01
ASO,2024,-0.12,2024-08-01,2024-09-01,2024-10-01,2024-10-01,2024-09-01
SON,2024,-0.19,2024-09-01,2024-10-01,2024-11-01,2024-11-01,2024-10-01
OND,2024,-0.29,2024-10-01,2024-11-01,2024-12-01,2024-12-01,2024-11-01
NDJ,2024,-0.43,2024-11-01,2024-12-01,2025-01-01,2025-01-01,2024-12-01
DJF,2025,-0.46,2024-12-01,2025-01-01,2025-02-01,2025-02-01,2025-01-01
JFM,2025,-0.22,2025-01-01,2025-02-01,2025-03-01,2025-03-01,2025-02-01
FMA,2025,-0.08,2025-02-01,2025-03-01,2025-04-01,2025-04-01,2025-03-01
MAM,2025,0.02,2025-03-01,2025-04-01,2025-05-01,2025-05-01,2025-04-01
AMJ,2025,-0.04,2025-04-01,2025-05-01,2025-06-01,2025-06-01,2025-05-01
MJJ,2025,-0.02,2025-05-01,2025-06-01,2025-07-01,2025-07-01,2025-06-01
JJA,2025,-0.11,2025-06-01,2025-07-01,2025-08-01,2025-08-01,2025-07-01
JAS,2025,-0.26,2025-07-01,2025-08-01,2025-09-01,2025-09-01,2025-08-01
ASO,2025,-0.43,2025-08-01,2025-09-01,2025-10-01,2025-10-01,2025-09-01
SON,2025,-0.57,2025-09-01,2025-10-01,2025-11-01,2025-11-01,2025-10-01
OND,2025,-0.61,2025-10-01,2025-11-01,2025-12-01,2025-12-01,2025-11-01
NDJ,2025,-0.6,2025-11-01,2025-12-01,2026-01-01,2026-01-01,2025-12-01
DJF,2026,-0.39,2025-12-01,2026-01-01,2026-02-01,2026-02-01,2026-01-01
JFM,2026,-0.21,2026-01-01,2026-02-01,2026-03-01,2026-03-01,2026-02-01
FMA,2026,0.11,2026-02-01,2026-03-01,2026-04-01,2026-04-01,2026-03-01
MAM,2026,0.46,2026-03-01,2026-04-01,2026-05-01,2026-05-01,2026-04-01
AMJ,2026,0.95,2026-04-01,2026-05-01,2026-06-01,2026-06-01,2026-05-01
MJJ,2026,1.39,2026-05-01,2026-06-01,2026-07-01,2026-07-01,2026-06-01
JJA,2026,1.8,2026-06-01,2026-07-01,2026-08-01,2026-08-01,2026-07-01
