seas,yr,anom,mes1,mes2,mes3,disponibilidade_conservadora,data_indexada_antiga_por_centro
FMA,1973,0.56,1973-02-01,1973-03-01,1973-04-01,1973-04-01,1973-03-01
MAM,1973,-0.03,1973-03-01,1973-04-01,1973-05-01,1973-05-01,1973-04-01
AMJ,1973,-0.51,1973-04-01,1973-05-01,1973-06-01,1973-06-01,1973-05-01
MJJ,1973,-0.8,1973-05-01,1973-06-01,1973-07-01,1973-07-01,1973-06-01
JJA,1973,-0.99,1973-06-01,1973-07-01,1973-08-01,1973-08-01,1973-07-01
JAS,1973,-1.11,1973-07-01,1973-08-01,1973-09-01,1973-09-01,1973-08-01
ASO,1973,-1.26,1973-08-01,1973-09-01,1973-10-01,1973-10-01,1973-09-01
SON,1973,-1.58,1973-09-01,1973-10-01,1973-11-01,1973-11-01,1973-10-01
OND,1973,-1.89,1973-10-01,1973-11-01,1973-12-01,1973-12-01,1973-11-01
NDJ,1973,-2.04,1973-11-01,1973-12-01,1974-01-01,1974-01-01,1973-12-01
DJF,1974,-1.87,1973-12-01,1974-01-01,1974-02-01,1974-02-01,1974-01-01
JFM,1974,-1.59,1974-01-01,1974-02-01,1974-03-01,1974-03-01,1974-02-01
FMA,1974,-1.24,1974-02-01,1974-03-01,1974-04-01,1974-04-01,1974-03-01
MAM,1974,-0.99,1974-03-01,1974-04-01,1974-05-01,1974-05-01,1974-04-01
AMJ,1974,-0.71,1974-04-01,1974-05-01,1974-06-01,1974-06-01,1974-05-01
MJJ,1974,-0.64,1974-05-01,1974-06-01,1974-07-01,1974-07-01,1974-06-01
JJA,1974,-0.46,1974-06-01,1974-07-01,1974-08-01,1974-08-01,1974-07-01
JAS,1974,-0.4,1974-07-01,1974-08-01,1974-09-01,1974-09-01,1974-08-01
