backtest,horizonte,alpha,rmse
A,23,0.2,3.370022038643974
A,24,0.2,2.4896712467925335
B,1,0.2,2.6185247569126613
B,2,0.2,2.700300677106457
B,3,0.2,4.4855895914315385
B,4,0.2,4.031456596627675
B,5,0.2,4.144944922613289
B,6,0.2,4.208876843003583
B,7,0.2,4.462549341927412
B,8,0.2,4.238787780808685
B,9,0.2,4.1221605065338505
B,10,0.2,3.7448989943265514
B,11,0.2,3.340332102470688
B,12,0.2,2.070983025193212
A,1,0.3,2.195761489154689
A,2,0.3,3.045080347899854
A,3,0.3,2.927766160298803
A,4,0.3,3.1458015548591463
A,5,0.3,3.5147719319983546
A,6,0.3,2.66047959243042
A,7,0.3,2.9564378605712074
A,8,0.3,3.134250989295018
A,9,0.3,2.59089933745827
A,10,0.3,2.19832175401257
A,11,0.3,2.2559295090224976
A,12,0.3,2.8481157068596428
A,13,0.3,2.4184125077891068
A,14,0.3,2.510469923089362
A,15,0.3,4.06444161873139
A,16,0.3,3.3831068845486234
A,17,0.3,3.437746909955496
A,18,0.3,3.1647381652147315
A,19,0.3,3.218401647116159
A,20,0.3,2.8356497808982675
A,21,0.3,2.930260042062588
A,22,0.3,2.550626225927109
A,23,0.3,3.24317419787396
A,24,0.3,2.3475894543321205
B,1,0.3,2.4023807347441526
B,2,0.3,2.4487213147830524
B,3,0.3,4.180074491594873
B,4,0.3,3.678498970796818
B,5,0.3,3.767135135234503
B,6,0.3,3.7970163204260032
B,7,0.3,4.009893158837749
B,8,0.3,3.7664580229380515
B,9,0.3,3.6945073410573492
B,10,0.3,3.3875214388030983
B,11,0.3,3.1657951023230013
B,12,0.3,1.9290785083864455
A,1,0.4,2.0531904555187794
A,2,0.4,2.8186752733064417
A,3,0.4,2.646377726392185
A,4,0.4,2.8769083135743645
A,5,0.4,3.225892804143583
A,6,0.4,2.3860606514145246
A,7,0.4,2.6571324395949736
A,8,0.4,2.810355498620799
A,9,0.4,2.3162147927380032
A,10,0.4,2.0184158713775022
A,11,0.4,2.134403336421843
A,12,0.4,2.7514627001451566
A,13,0.4,2.2260792018627638
A,14,0.4,2.288580190095003
A,15,0.4,3.7819955549669997
A,16,0.4,3.0775938198756254
A,17,0.4,3.134192468888334
A,18,0.4,2.8802444455992533
A,19,0.4,2.9043378525873593
A,20,0.4,2.5118221852028944
A,21,0.4,2.649810207714288
A,22,0.4,2.347893320069315
A,23,0.4,3.127718997611878
A,24,0.4,2.2162540425142487
B,1,0.4,2.2060073331075634
B,2,0.4,2.2240331093821863
B,3,0.4,3.885427925871187
B,4,0.4,3.336072194613559
B,5,0.4,3.3998742999348033
B,6,0.4,3.3987125708457637
B,7,0.4,3.5661565705863416
B,8,0.4,3.300854344468532
B,9,0.4,3.2760332115588184
B,10,0.4,3.0426835611130656
B,11,0.4,3.013570534125664
B,12,0.4,1.8094490867139066
A,1,0.5,1.9449245958045744
A,2,0.5,2.6182183077103676
A,3,0.5,2.387366672141218
A,4,0.5,2.6331540686026345
A,5,0.5,2.9525730605145157
A,6,0.5,2.1371210200424593
A,7,0.5,2.376243165355541
A,8,0.5,2.497279677556484
A,9,0.5,2.0575321124658075
A,10,0.5,1.8645166108596702
A,11,0.5,2.0311214067200494
A,12,0.5,2.6678124572021598
A,13,0.5,2.057925235632894
